RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,date,zori,geoid
3026,360,Santa Rosa County,county,FL,FL,"${str}",2026-01-31,1964.778502,
2528,164,Sarasota County,county,FL,FL,"${str}",2026-01-31,2124.992508,
2529,288,Saratoga County,county,NY,NY,"${str}",2026-01-31,1750.474137,
704,353,Sarpy County,county,NE,NE,"${str}",2026-01-31,1474.266063,
314,832,Sauk County,county,WI,WI,"${str}",2026-01-31,1123.113889,
3137,428,Schenectady County,county,NY,NY,"${str}",2026-01-31,1384.742521,
3028,462,Schuylkill County,county,PA,PA,"${str}",2026-01-31,1150.896825,
706,380,Scott County,county,IA,IA,"${str}",2026-01-31,1057.381481,
710,922,Scott County,county,KY,KY,"${str}",2026-01-31,1539.417989,
711,450,Scott County,county,MN,MN,"${str}",2026-01-31,1733.324916,
3192,1306,Scotts Bluff County,county,NE,NE,"${str}",2026-01-31,892.5,
2844,509,Sebastian County,county,AR,AR,"${str}",2026-01-31,1036.180808,
2537,136,Sedgwick County,county,KS,KS,"${str}",2026-01-31,1185.680694,
2538,152,Seminole County,county,FL,FL,"${str}",2026-01-31,1825.543942,
1374,940,Seneca County,county,OH,OH,"${str}",2026-01-31,700.0,
1376,619,Sevier County,county,TN,TN,"${str}",2026-01-31,1753.175,
1380,368,Shasta County,county,CA,CA,"${str}",2026-01-31,1589.792421,
2022,1181,Shawano County,county,WI,WI,"${str}",2026-01-31,810.0,
2023,375,Shawnee County,county,KS,KS,"${str}",2026-01-31,1146.346898,
2845,538,Sheboygan County,county,WI,WI,"${str}",2026-01-31,949.1666667,
1381,312,Shelby County,county,AL,AL,"${str}",2026-01-31,1679.422057,
1384,1091,Shelby County,county,IN,IN,"${str}",2026-01-31,1413.777778,
1385,1043,Shelby County,county,KY,KY,"${str}",2026-01-31,1623.333333,
1387,1030,Shelby County,county,OH,OH,"${str}",2026-01-31,1325.583333,
1388,59,Shelby County,county,TN,TN,"${str}",2026-01-31,1358.098048,
3030,1106,Shenandoah County,county,VA,VA,,2026-01-31,1540.0,
2846,630,Sherburne County,county,MN,MN,"${str}",2026-01-31,1480.555556,
2546,1452,Sheridan County,county,WY,WY,"${str}",2026-01-31,1591.666667,
3031,791,Shiawassee County,county,MI,MI,"${str}",2026-01-31,1089.0,
3032,1332,Silver Bow County,county,MT,MT,"${str}",2026-01-31,1340.555556,
2028,1918,Simpson County,county,KY,KY,,2026-01-31,1395.0,
2548,1108,Siskiyou County,county,CA,CA,,2026-01-31,1546.666667,
1393,504,Skagit County,county,WA,WA,"${str}",2026-01-31,2121.593137,
725,294,Smith County,county,TX,TX,"${str}",2026-01-31,1330.594345,
2847,76,Snohomish County,county,WA,WA,"${str}",2026-01-31,2134.458011,
1395,158,Solano County,county,CA,CA,"${str}",2026-01-31,2385.097893,
2552,209,Somerset County,county,NJ,NJ,"${str}",2026-01-31,2580.305283,
2553,751,Somerset County,county,PA,PA,"${str}",2026-01-31,887.25,
1396,144,Sonoma County,county,CA,CA,"${str}",2026-01-31,2600.577011,
2554,814,Spalding County,county,GA,GA,"${str}",2026-01-31,1313.924242,
3141,219,Spartanburg County,county,SC,SC,"${str}",2026-01-31,1408.47216,
2033,132,Spokane County,county,WA,WA,"${str}",2026-01-31,1480.488222,
3193,473,Spotsylvania County,county,VA,VA,"${str}",2026-01-31,1935.129175,
2556,439,Stafford County,county,VA,VA,"${str}",2026-01-31,2216.077861,
3033,124,Stanislaus County,county,CA,CA,"${str}",2026-01-31,2096.914426,
1397,863,Stanly County,county,NC,NC,"${str}",2026-01-31,1493.333333,
729,1405,Stark County,county,ND,ND,"${str}",2026-01-31,1210.055556,
730,190,Stark County,county,OH,OH,"${str}",2026-01-31,1052.116183,
3230,1637,Staunton City,county,VA,VA,"${str}",2026-01-31,1402.055556,
2037,426,Stearns County,county,MN,MN,"${str}",2026-01-31,1245.748904,
1399,1267,Steele County,county,MN,MN,"${str}",2026-01-31,1136.0,
2558,1135,Stephens County,county,OK,OK,"${str}",2026-01-31,986.1111111,
2038,1349,Steuben County,county,IN,IN,"${str}",2026-01-31,1251.333333,
2039,642,Steuben County,county,NY,NY,"${str}",2026-01-31,1338.571429,
2042,1064,Stevens County,county,WA,WA,"${str}",2026-01-31,1600.0,
1401,1099,Stokes County,county,NC,NC,"${str}",2026-01-31,1395.0,
735,618,Story County,county,IA,IA,"${str}",2026-01-31,1119.864078,
2851,495,Strafford County,county,NH,NH,"${str}",2026-01-31,2062.539683,
2562,1788,Stutsman County,county,ND,ND,"${str}",2026-01-31,1132.305556,
3194,645,Suffolk City,county,VA,VA,"${str}",2026-01-31,1884.867662,
2045,80,Suffolk County,county,MA,MA,"${str}",2026-01-31,3531.255844,
2046,24,Suffolk County,county,NY,NY,"${str}",2026-01-31,5139.855147,
2566,1129,Sullivan County,county,NH,NH,"${str}",2026-01-31,1654.305556,
2567,727,Sullivan County,county,NY,NY,,2026-01-31,1828.888889,
2569,425,Sullivan County,county,TN,TN,"${str}",2026-01-31,1372.445055,
1403,1440,Summit County,county,CO,CO,"${str}",2026-01-31,3504.1,
1404,128,Summit County,county,OH,OH,"${str}",2026-01-31,1213.147211,
1405,1157,Summit County,county,UT,UT,"${str}",2026-01-31,3197.513228,
1407,347,Sumner County,county,TN,TN,"${str}",2026-01-31,1630.941065,
1409,510,Sumter County,county,FL,FL,"${str}",2026-01-31,1658.14916,
1410,1478,Sumter County,county,GA,GA,"${str}",2026-01-31,958.3333333,
1411,582,Sumter County,county,SC,SC,"${str}",2026-01-31,1470.741758,
737,772,Surry County,county,NC,NC,"${str}",2026-01-31,1299.166667,
1412,290,Sussex County,county,DE,DE,"${str}",2026-01-31,2233.739899,
1413,454,Sussex County,county,NJ,NJ,"${str}",2026-01-31,2394.309524,
1415,610,Sutter County,county,CA,CA,"${str}",2026-01-31,1870.759259,
3036,1148,Sweetwater County,county,WY,WY,"${str}",2026-01-31,1009.388889,
1418,1260,Talbot County,county,MD,MD,"${str}",2026-01-31,2450.0,
2853,700,Talladega County,county,AL,AL,"${str}",2026-01-31,1210.277778,
741,929,Taney County,county,MO,MO,"${str}",2026-01-31,1402.896825,
3039,491,Tangipahoa Parish,county,LA,LA,"${str}",2026-01-31,1241.711988,
316,1352,Taos County,county,NM,NM,"${str}",2026-01-31,1987.5,
2049,14,Tarrant County,county,TX,TX,"${str}",2026-01-31,1570.324426,
1423,465,Taylor County,county,TX,TX,"${str}",2026-01-31,1777.940118,
2572,488,Tazewell County,county,IL,IL,"${str}",2026-01-31,1205.292308,
1426,831,Tehama County,county,CA,CA,"${str}",2026-01-31,1419.861111,
1427,1671,Teller County,county,CO,CO,"${str}",2026-01-31,2041.694444,
3040,558,Terrebonne Parish,county,LA,LA,"${str}",2026-01-31,1269.608328,
743,2385,Teton County,county,ID,ID,"${str}",2026-01-31,2942.5,
1430,1077,Thomas County,county,GA,GA,"${str}",2026-01-31,1647.222222,
2575,243,Thurston County,county,WA,WA,"${str}",2026-01-31,2028.23209,
2854,1568,Tillamook County,county,OR,OR,,2026-01-31,1900.0,
3041,355,Tippecanoe County,county,IN,IN,"${str}",2026-01-31,1382.744444,
1435,873,Tipton County,county,TN,TN,"${str}",2026-01-31,1794.166667,
2054,449,Tolland County,county,CT,CT,"${str}",2026-01-31,1904.202381,
2855,529,Tom Green County,county,TX,TX,"${str}",2026-01-31,1317.230769,
2578,581,Tompkins County,county,NY,NY,"${str}",2026-01-31,2095.854444,
1436,774,Tooele County,county,UT,UT,"${str}",2026-01-31,2051.5,
1437,1573,Toombs County,county,GA,GA,"${str}",2026-01-31,1500.0,
